,itv_start,itv_end,name,itv_level
325,50641.439453125,50797.438453125,ml_eeg_deep_sleep,-3
326,50797.439453125,50813.438453125,ml_eeg_rem_sleep,-1
327,50813.439453125,50829.438453125,ml_eeg_light_sleep,-2
328,50829.439453125,51025.438453125,ml_eeg_deep_sleep,-3
329,51025.439453125,51037.438453125,ml_eeg_light_sleep,-2
330,51037.439453125,51133.438453125,ml_eeg_deep_sleep,-3
331,51133.439453125,51177.196265625,ml_eeg_rem_sleep,-1
332,51177.197265625,51180.633765625,ml_eeg_active,0
333,51180.634765625,51196.633765625,ml_eeg_light_sleep,-2
334,51196.634765625,51304.633765625,ml_eeg_deep_sleep,-3
335,51304.634765625,51336.633765625,ml_eeg_rem_sleep,-1
336,51336.634765625,51352.633765625,ml_eeg_light_sleep,-2
337,51352.634765625,51432.633765625,ml_eeg_deep_sleep,-3
338,51432.634765625,51452.633765625,ml_eeg_rem_sleep,-1
339,51452.634765625,51468.633765625,ml_eeg_light_sleep,-2
340,51468.634765625,51560.633765625,ml_eeg_deep_sleep,-3
341,51560.634765625,51628.633765625,ml_eeg_rem_sleep,-1
342,51628.634765625,51676.514625,ml_eeg_light_sleep,-2
343,51676.515625,51692.514625,ml_eeg_deep_sleep,-3
344,51692.515625,51696.514625,ml_eeg_rem_sleep,-1
345,51696.515625,51720.514625,ml_eeg_light_sleep,-2
346,51720.515625,51840.514625,ml_eeg_deep_sleep,-3
347,51840.515625,51860.514625,ml_eeg_light_sleep,-2
348,51860.515625,51960.514625,ml_eeg_deep_sleep,-3
349,51960.515625,52016.26853125,ml_eeg_rem_sleep,-1
350,52016.26953125,52020.125953125,ml_eeg_active,0
351,52020.126953125,52052.125953125,ml_eeg_light_sleep,-2
352,52052.126953125,52076.125953125,ml_eeg_deep_sleep,-3
353,52076.126953125,52088.125953125,ml_eeg_light_sleep,-2
354,52088.126953125,52124.125953125,ml_eeg_deep_sleep,-3
355,52124.126953125,52136.125953125,ml_eeg_light_sleep,-2
356,52136.126953125,52164.125953125,ml_eeg_deep_sleep,-3
357,52164.126953125,52184.125953125,ml_eeg_rem_sleep,-1
358,52184.126953125,52204.125953125,ml_eeg_light_sleep,-2
359,52204.126953125,52344.125953125,ml_eeg_deep_sleep,-3
360,52344.126953125,52468.125953125,ml_eeg_rem_sleep,-1
361,52468.126953125,52496.125953125,ml_eeg_light_sleep,-2
362,52496.126953125,52507.231421875,ml_eeg_deep_sleep,-3
363,52507.232421875,52524.733375,ml_eeg_active,0
364,52524.734375,52560.733375,ml_eeg_deep_sleep,-3
365,52560.734375,52568.934546875,ml_eeg_light_sleep,-2
366,52568.935546875,52573.2411875,ml_eeg_active,0
367,52573.2421875,52585.2411875,ml_eeg_light_sleep,-2
368,52585.2421875,53111.76853125,ml_eeg_deep_sleep,-3
369,53111.76953125,53133.934546875,ml_eeg_rem_sleep,-1
370,53133.935546875,53143.368140625,ml_eeg_active,0
371,53143.369140625,53155.368140625,ml_eeg_light_sleep,-2
372,53155.369140625,53319.368140625,ml_eeg_deep_sleep,-3
373,53319.369140625,53351.368140625,ml_eeg_rem_sleep,-1
374,53351.369140625,53375.368140625,ml_eeg_light_sleep,-2
375,53375.369140625,53383.368140625,ml_eeg_deep_sleep,-3
376,53383.369140625,53411.368140625,ml_eeg_rem_sleep,-1
377,53411.369140625,53452.250953125,ml_eeg_light_sleep,-2
378,53452.251953125,53469.75290625,ml_eeg_active,0
379,53469.75390625,53473.75290625,ml_eeg_light_sleep,-2
380,53473.75390625,53633.75290625,ml_eeg_deep_sleep,-3
381,53633.75390625,53645.75290625,ml_eeg_rem_sleep,-1
382,53645.75390625,53657.75290625,ml_eeg_light_sleep,-2
383,53657.75390625,53729.75290625,ml_eeg_deep_sleep,-3
384,53729.75390625,53785.75290625,ml_eeg_rem_sleep,-1
385,53785.75390625,53825.430640625,ml_eeg_light_sleep,-2
386,53825.431640625,53984.76071875,ml_eeg_deep_sleep,-3
387,53984.76171875,54027.262671875,ml_eeg_active,0
388,54027.263671875,54287.270484375,ml_eeg_deep_sleep,-3
389,54287.271484375,54432.2724375,ml_eeg_active,0
390,54432.2734375,54457.270484375,ml_eeg_light_sleep,-2
391,54457.271484375,54604.7724375,ml_eeg_active,0
392,54604.7734375,54620.7724375,ml_eeg_light_sleep,-2
393,54620.7734375,54672.7724375,ml_eeg_deep_sleep,-3
394,54672.7734375,54688.7724375,ml_eeg_light_sleep,-2
395,54688.7734375,54804.7724375,ml_eeg_deep_sleep,-3
396,54804.7734375,54812.332984375,ml_eeg_light_sleep,-2
397,54812.333984375,54816.336890625,ml_eeg_active,0
398,54816.337890625,54824.336890625,ml_eeg_light_sleep,-2
399,54824.337890625,54944.336890625,ml_eeg_deep_sleep,-3
400,54944.337890625,54972.336890625,ml_eeg_rem_sleep,-1
401,54972.337890625,55080.336890625,ml_eeg_deep_sleep,-3
402,55080.337890625,55172.336890625,ml_eeg_rem_sleep,-1
403,55172.337890625,55192.336890625,ml_eeg_light_sleep,-2
404,55192.337890625,55236.336890625,ml_eeg_deep_sleep,-3
405,55236.337890625,55248.336890625,ml_eeg_light_sleep,-2
406,55248.337890625,55408.336890625,ml_eeg_deep_sleep,-3
407,55408.337890625,55444.336890625,ml_eeg_rem_sleep,-1
408,55444.337890625,55468.336890625,ml_eeg_light_sleep,-2
409,55468.337890625,55616.336890625,ml_eeg_deep_sleep,-3
410,55616.337890625,55668.336890625,ml_eeg_rem_sleep,-1
411,55668.337890625,55680.336890625,ml_eeg_light_sleep,-2
412,55680.337890625,55692.336890625,ml_eeg_deep_sleep,-3
413,55692.337890625,55704.336890625,ml_eeg_light_sleep,-2
414,55704.337890625,55816.336890625,ml_eeg_deep_sleep,-3
415,55816.337890625,55888.336890625,ml_eeg_rem_sleep,-1
416,55888.337890625,55904.336890625,ml_eeg_light_sleep,-2
417,55904.337890625,55988.336890625,ml_eeg_rem_sleep,-1
418,55988.337890625,56024.336890625,ml_eeg_light_sleep,-2
419,56024.337890625,56049.79978125,ml_eeg_deep_sleep,-3
420,56049.80078125,56072.301734375,ml_eeg_active,0
421,56072.302734375,56097.29978125,ml_eeg_deep_sleep,-3
422,56097.30078125,56147.301734375,ml_eeg_active,0
423,56147.302734375,56151.301734375,ml_eeg_light_sleep,-2
424,56151.302734375,56423.301734375,ml_eeg_deep_sleep,-3
425,56423.302734375,56435.301734375,ml_eeg_light_sleep,-2
426,56435.302734375,56523.301734375,ml_eeg_deep_sleep,-3
427,56523.302734375,56555.301734375,ml_eeg_rem_sleep,-1
428,56555.302734375,56571.301734375,ml_eeg_light_sleep,-2
429,56571.302734375,56703.301734375,ml_eeg_deep_sleep,-3
430,56703.302734375,56715.301734375,ml_eeg_light_sleep,-2
431,56715.302734375,56927.301734375,ml_eeg_deep_sleep,-3
432,56927.302734375,57051.301734375,ml_eeg_rem_sleep,-1
433,57051.302734375,57087.301734375,ml_eeg_light_sleep,-2
434,57087.302734375,57107.301734375,ml_eeg_deep_sleep,-3
435,57107.302734375,57119.301734375,ml_eeg_light_sleep,-2
436,57119.302734375,57239.301734375,ml_eeg_deep_sleep,-3
437,57239.302734375,57247.94821875,ml_eeg_light_sleep,-2
438,57247.94921875,57252.1474375,ml_eeg_active,0
439,57252.1484375,57268.1474375,ml_eeg_light_sleep,-2
440,57268.1484375,57504.1474375,ml_eeg_deep_sleep,-3
441,57504.1484375,57520.1474375,ml_eeg_rem_sleep,-1
442,57520.1484375,57530.3505625,ml_eeg_deep_sleep,-3
443,57530.3515625,57534.6865,ml_eeg_active,0
444,57534.6875,57566.6865,ml_eeg_light_sleep,-2
445,57566.6875,57650.6865,ml_eeg_deep_sleep,-3
446,57650.6875,57658.6865,ml_eeg_rem_sleep,-1
447,57658.6875,57670.6865,ml_eeg_light_sleep,-2
448,57670.6875,57702.329078125,ml_eeg_rem_sleep,-1
449,57702.330078125,57719.83103125,ml_eeg_active,0
450,57719.83203125,57723.83103125,ml_eeg_light_sleep,-2
451,57723.83203125,57735.83103125,ml_eeg_deep_sleep,-3
452,57735.83203125,57755.83103125,ml_eeg_light_sleep,-2
453,57755.83203125,57882.33884375,ml_eeg_deep_sleep,-3
454,57882.33984375,57974.840796875,ml_eeg_active,0
455,57974.841796875,57989.83884375,ml_eeg_light_sleep,-2
456,57989.83984375,58389.8505625,ml_eeg_active,0
457,58389.8515625,58593.8505625,ml_eeg_deep_sleep,-3
458,58593.8515625,58621.8505625,ml_eeg_light_sleep,-2
459,58621.8515625,58653.8505625,ml_eeg_deep_sleep,-3
460,58653.8515625,58665.8505625,ml_eeg_light_sleep,-2
461,58665.8515625,58801.8505625,ml_eeg_deep_sleep,-3
462,58801.8515625,58825.8505625,ml_eeg_rem_sleep,-1
463,58825.8515625,58849.8505625,ml_eeg_light_sleep,-2
464,58849.8515625,58877.8505625,ml_eeg_deep_sleep,-3
465,58877.8515625,58925.8505625,ml_eeg_rem_sleep,-1
466,58925.8515625,58949.8505625,ml_eeg_light_sleep,-2
467,58949.8515625,59033.8505625,ml_eeg_deep_sleep,-3
468,59033.8515625,59045.8505625,ml_eeg_light_sleep,-2
469,59045.8515625,59169.8505625,ml_eeg_deep_sleep,-3
470,59169.8515625,59242.547828125,ml_eeg_rem_sleep,-1
471,59242.548828125,59244.54978125,ml_eeg_active,0
472,59244.55078125,59272.54978125,ml_eeg_light_sleep,-2
473,59272.55078125,59316.54978125,ml_eeg_deep_sleep,-3
474,59316.55078125,59328.54978125,ml_eeg_light_sleep,-2
475,59328.55078125,59376.54978125,ml_eeg_deep_sleep,-3
476,59376.55078125,59400.54978125,ml_eeg_light_sleep,-2
477,59400.55078125,59648.54978125,ml_eeg_deep_sleep,-3
478,59648.55078125,59670.114234375,ml_eeg_light_sleep,-2
479,59670.115234375,59826.114234375,ml_eeg_deep_sleep,-3
480,59826.115234375,59870.114234375,ml_eeg_light_sleep,-2
481,59870.115234375,60066.114234375,ml_eeg_deep_sleep,-3
482,60066.115234375,60075.379859375,ml_eeg_rem_sleep,-1
483,60075.380859375,60079.97946875,ml_eeg_active,0
484,60079.98046875,60091.97946875,ml_eeg_light_sleep,-2
485,60091.98046875,60127.37790625,ml_eeg_deep_sleep,-3
486,60127.37890625,60162.379859375,ml_eeg_active,0
487,60162.380859375,60178.379859375,ml_eeg_light_sleep,-2
488,60178.380859375,60190.165015625,ml_eeg_deep_sleep,-3
489,60190.166015625,60198.719703125,ml_eeg_active,0
490,60198.720703125,60222.37790625,ml_eeg_light_sleep,-2
491,60222.37890625,60244.879859375,ml_eeg_active,0
492,60244.880859375,60252.879859375,ml_eeg_light_sleep,-2
493,60252.880859375,60444.879859375,ml_eeg_deep_sleep,-3
494,60444.880859375,60456.879859375,ml_eeg_rem_sleep,-1
495,60456.880859375,60467.387671875,ml_eeg_light_sleep,-2
496,60467.388671875,60497.389625,ml_eeg_active,0
497,60497.390625,60505.389625,ml_eeg_light_sleep,-2
498,60505.390625,60701.389625,ml_eeg_deep_sleep,-3
499,60701.390625,60874.887671875,ml_eeg_rem_sleep,-1
500,60874.888671875,60897.399390625,ml_eeg_active,0
501,60897.400390625,61277.399390625,ml_eeg_deep_sleep,-3
502,61277.400390625,61297.399390625,ml_eeg_rem_sleep,-1
503,61297.400390625,61309.399390625,ml_eeg_light_sleep,-2
504,61309.400390625,61525.399390625,ml_eeg_deep_sleep,-3
505,61525.400390625,61541.399390625,ml_eeg_rem_sleep,-1
506,61541.400390625,61549.399390625,ml_eeg_deep_sleep,-3
507,61549.400390625,61561.399390625,ml_eeg_light_sleep,-2
508,61561.400390625,61665.399390625,ml_eeg_deep_sleep,-3
509,61665.400390625,61726.415015625,ml_eeg_rem_sleep,-1
510,61726.416015625,61728.670875,ml_eeg_active,0
511,61728.671875,61752.670875,ml_eeg_light_sleep,-2
512,61752.671875,61956.670875,ml_eeg_deep_sleep,-3
513,61956.671875,61976.670875,ml_eeg_rem_sleep,-1
514,61976.671875,62004.670875,ml_eeg_light_sleep,-2
515,62004.671875,62136.670875,ml_eeg_deep_sleep,-3
516,62136.671875,62196.670875,ml_eeg_rem_sleep,-1
517,62196.671875,62232.670875,ml_eeg_light_sleep,-2
518,62232.671875,62376.670875,ml_eeg_deep_sleep,-3
519,62376.671875,62432.04978125,ml_eeg_rem_sleep,-1
520,62432.05078125,62435.243140625,ml_eeg_active,0
521,62435.244140625,62443.243140625,ml_eeg_light_sleep,-2
522,62443.244140625,62607.243140625,ml_eeg_deep_sleep,-3
523,62607.244140625,62643.243140625,ml_eeg_rem_sleep,-1
524,62643.244140625,62663.243140625,ml_eeg_light_sleep,-2
525,62663.244140625,62699.243140625,ml_eeg_deep_sleep,-3
526,62699.244140625,62791.243140625,ml_eeg_rem_sleep,-1
527,62791.244140625,62819.243140625,ml_eeg_deep_sleep,-3
528,62819.244140625,62959.243140625,ml_eeg_rem_sleep,-1
529,62959.244140625,62975.243140625,ml_eeg_light_sleep,-2
530,62975.244140625,62982.4365,ml_eeg_deep_sleep,-3
531,62982.4375,63769.94821875,ml_eeg_active,0
532,63769.94921875,63773.94821875,ml_eeg_light_sleep,-2
533,63773.94921875,63884.946265625,ml_eeg_deep_sleep,-3
534,63884.947265625,63927.44821875,ml_eeg_active,0
535,63927.44921875,63935.44821875,ml_eeg_light_sleep,-2
536,63935.44921875,63999.44821875,ml_eeg_deep_sleep,-3
537,63999.44921875,64015.44821875,ml_eeg_light_sleep,-2
538,64015.44921875,64217.45603125,ml_eeg_deep_sleep,-3
539,64217.45703125,64234.957984375,ml_eeg_active,0
540,64234.958984375,64242.957984375,ml_eeg_light_sleep,-2
541,64242.958984375,64314.957984375,ml_eeg_deep_sleep,-3
542,64314.958984375,64330.957984375,ml_eeg_light_sleep,-2
543,64330.958984375,64370.957984375,ml_eeg_deep_sleep,-3
544,64370.958984375,64386.957984375,ml_eeg_light_sleep,-2
545,64386.958984375,64482.957984375,ml_eeg_deep_sleep,-3
546,64482.958984375,64546.957984375,ml_eeg_rem_sleep,-1
547,64546.958984375,64574.957984375,ml_eeg_light_sleep,-2
548,64574.958984375,64610.957984375,ml_eeg_deep_sleep,-3
549,64610.958984375,64622.957984375,ml_eeg_light_sleep,-2
550,64622.958984375,64850.957984375,ml_eeg_deep_sleep,-3
551,64850.958984375,64866.957984375,ml_eeg_light_sleep,-2
552,64866.958984375,64950.957984375,ml_eeg_deep_sleep,-3
553,64950.958984375,64974.957984375,ml_eeg_rem_sleep,-1
554,64974.958984375,64990.957984375,ml_eeg_light_sleep,-2
555,64990.958984375,65158.957984375,ml_eeg_deep_sleep,-3
556,65158.958984375,65254.957984375,ml_eeg_rem_sleep,-1
557,65254.958984375,65274.957984375,ml_eeg_light_sleep,-2
558,65274.958984375,65634.957984375,ml_eeg_deep_sleep,-3
559,65634.958984375,65646.957984375,ml_eeg_light_sleep,-2
560,65646.958984375,65886.957984375,ml_eeg_deep_sleep,-3
561,65886.958984375,65902.957984375,ml_eeg_rem_sleep,-1
562,65902.958984375,65906.957984375,ml_eeg_deep_sleep,-3
563,65906.958984375,65914.985328125,ml_eeg_light_sleep,-2
564,65914.986328125,65957.48728125,ml_eeg_active,0
565,65957.48828125,65981.48728125,ml_eeg_light_sleep,-2
566,65981.48828125,66137.48728125,ml_eeg_deep_sleep,-3
567,66137.48828125,66153.48728125,ml_eeg_rem_sleep,-1
568,66153.48828125,66169.48728125,ml_eeg_light_sleep,-2
569,66169.48828125,66209.48728125,ml_eeg_deep_sleep,-3
570,66209.48828125,66297.49509375,ml_eeg_rem_sleep,-1
571,66297.49609375,66319.997046875,ml_eeg_active,0
572,66319.998046875,66327.997046875,ml_eeg_light_sleep,-2
573,66327.998046875,66362.49509375,ml_eeg_deep_sleep,-3
574,66362.49609375,66392.497046875,ml_eeg_active,0
575,66392.498046875,66396.497046875,ml_eeg_light_sleep,-2
576,66396.498046875,66820.497046875,ml_eeg_deep_sleep,-3
577,66820.498046875,66840.497046875,ml_eeg_light_sleep,-2
578,66840.498046875,67048.497046875,ml_eeg_deep_sleep,-3
579,67048.498046875,67068.497046875,ml_eeg_light_sleep,-2
580,67068.498046875,67144.497046875,ml_eeg_deep_sleep,-3
581,67144.498046875,67160.497046875,ml_eeg_light_sleep,-2
582,67160.498046875,67216.497046875,ml_eeg_deep_sleep,-3
583,67216.498046875,67382.508765625,ml_eeg_rem_sleep,-1
584,67382.509765625,67386.5224375,ml_eeg_active,0
585,67386.5234375,67414.5224375,ml_eeg_light_sleep,-2
586,67414.5234375,67530.5224375,ml_eeg_deep_sleep,-3
587,67530.5234375,67542.5224375,ml_eeg_light_sleep,-2
588,67542.5234375,67587.514625,ml_eeg_deep_sleep,-3
589,67587.515625,67602.52634375,ml_eeg_active,0
590,67602.52734375,67610.52634375,ml_eeg_light_sleep,-2
591,67610.52734375,67994.52634375,ml_eeg_deep_sleep,-3
592,67994.52734375,68006.52634375,ml_eeg_light_sleep,-2
593,68006.52734375,68298.52634375,ml_eeg_deep_sleep,-3
594,68298.52734375,68310.52634375,ml_eeg_rem_sleep,-1
595,68310.52734375,68330.52634375,ml_eeg_light_sleep,-2
596,68330.52734375,68510.52634375,ml_eeg_deep_sleep,-3
597,68510.52734375,68538.52634375,ml_eeg_rem_sleep,-1
598,68538.52734375,68542.52634375,ml_eeg_deep_sleep,-3
599,68542.52734375,68558.536109375,ml_eeg_light_sleep,-2
600,68558.537109375,68622.536109375,ml_eeg_deep_sleep,-3
601,68622.537109375,68634.536109375,ml_eeg_rem_sleep,-1
602,68634.537109375,68650.536109375,ml_eeg_light_sleep,-2
603,68650.537109375,68706.536109375,ml_eeg_deep_sleep,-3
604,68706.537109375,68722.536109375,ml_eeg_light_sleep,-2
605,68722.537109375,68782.536109375,ml_eeg_deep_sleep,-3
606,68782.537109375,68810.536109375,ml_eeg_rem_sleep,-1
607,68810.537109375,68822.536109375,ml_eeg_light_sleep,-2
608,68822.537109375,68866.2099375,ml_eeg_deep_sleep,-3
609,68866.2109375,68870.64353125,ml_eeg_active,0
